scope,icc_value,lower_ci,upper_ci,interpretation
overall,0.9294395859652865,0.9225060288653015,0.9357037792858663,Excellent
aristoteles,0.8845964550967181,0.8522704652686802,0.9100064964218866,Good
dekker,0.9193303573093506,0.8981885699957023,0.9385739014159901,Excellent
kolb,0.9381336062599592,0.9264319939659718,0.9481036888531656,Excellent
schulz_von_thun,0.8174566663536058,0.7530212584702519,0.8652207821781747,Good
transactional,0.9396093875359814,0.9203735809378565,0.9538652106436636,Excellent
metaphor,0.8704674373519055,0.8074434005632803,0.9146960657833639,Good
speech_act,0.9263045832492103,0.897931439881607,0.9505190930620355,Excellent
narrative,0.8661525991807062,0.8249012976379781,0.8974046019780395,Good
